id,source_item_idx,scene_id,task_type,sft_initial_score,sft_final_score,sft_n_steps,sft_n_actions,env_n_steps,env_sum_reward,env_final_total_score,env_final_pos_score,env_final_ori_score,env_best_score,env_traj_success,env_invalid_actions,env_near_success_steps,env_near_success_bonus,env_collisions,success_path,done_at_step
sft_000040,40,0267_840790,absolute_positioning,0.391476,0.996648,3,14,4,-0.26820372977070994,0.594500218483462,0.5097769220475588,0.8748641111600802,0.594500218483462,False,3,0,0.1291332693030234,0,none,4
sft_000041,41,0267_840790,absolute_positioning,0.391476,0.997372,3,14,3,51.23053008360246,0.9973717408171731,0.9989942341898679,0.9949345948477413,0.9973717408171731,True,0,1,0.6266806864919574,0,auto_term,3
sft_000043,43,0267_840790,absolute_positioning,0.383918,0.981676,3,14,3,51.21563272496619,0.9816759963385835,0.9972703087817185,0.958195610524114,0.9816759963385835,True,0,1,0.6180801779658316,0,auto_term,3
sft_000044,44,0267_840790,absolute_positioning,0.383918,0.981676,3,14,3,51.21563272496619,0.9816759963385835,0.9972703087817185,0.958195610524114,0.9816759963385835,True,0,1,0.6180801779658316,0,auto_term,3
sft_000045,45,0267_840790,absolute_positioning,0.383918,0.999769,3,11,3,51.33837643214471,0.9997694081488333,0.9996157624826189,1.0,0.9997694081488333,True,0,1,0.7281517937397073,0,auto_term,3
sft_000046,46,0267_840790,absolute_positioning,0.383918,0.981676,3,14,3,51.21563272496619,0.9816759963385835,0.9972703087817185,0.958195610524114,0.9816759963385835,True,0,1,0.6180801779658316,0,auto_term,3
sft_000048,48,0267_840790,absolute_positioning,0.383918,0.997522,3,13,3,51.232373785076305,0.9975216855083235,0.9991058795777898,0.995142437949359,0.9975216855083235,True,0,1,0.6222824024418955,0,auto_term,3
sft_000049,49,0267_840790,absolute_positioning,0.383918,0.981676,3,14,3,51.21563272496619,0.9816759963385835,0.9972703087817185,0.9581956105241138,0.9816759963385835,True,0,1,0.6180801779658311,0,auto_term,3
sft_000050,50,0267_840790,absolute_positioning,0.383918,0.993386,4,20,4,51.38723785447172,0.9933857644892405,0.994329655041278,0.991958723389141,0.9933857644892405,True,0,1,0.7400805580932626,0,auto_term,4
sft_000053,53,0267_840790,absolute_positioning,0.306239,0.982807,3,13,4,-0.11840887931933466,0.4499795486499456,0.6065306597126336,0.019357038277901972,0.47116421996072005,False,2,0,0.08396780391635929,0,none,-1
sft_000055,55,0267_840790,absolute_positioning,0.306239,0.981423,4,17,5,-0.4606091959462123,0.3062425372480918,0.37531109885139935,1.941016019633847e-05,0.4711642199607199,False,3,0,0.05560720031974972,0,none,5
sft_000056,56,0267_840790,absolute_positioning,0.306239,0.995657,3,13,4,0.6068903803389438,0.8754421457576002,0.998107555301495,0.6909593930075936,0.8754421457576002,False,2,1,0.4723006866653753,0,none,-1
sft_000063,63,0267_840790,delta_control,0.370842,0.96633,6,22,7,-0.1966981740126096,0.4409374996178583,0.5990588251644345,0.0,0.5740679742633417,False,3,0,0.18127861240530785,0,none,-1
sft_000064,64,0267_840790,delta_control,0.370842,0.96633,6,22,7,-0.1966981740126096,0.4409374996178583,0.5990588251644345,0.0,0.5740679742633417,False,3,0,0.18127861240530785,0,none,-1
sft_000065,65,0267_840790,absolute_positioning,0.380559,0.999828,3,12,3,51.23211515609176,0.9998278346288122,0.999713103601445,1.0,0.9998278346288122,True,0,1,0.6174430473751985,0,auto_term,3
sft_000067,67,0267_840790,delta_control,0.415006,0.991168,5,20,6,-0.24148282086760514,0.41500596770262077,0.5509728564211246,0.0,0.6429986559657529,False,3,0,0.2353012638633658,0,none,6
